Timestamp,EEG Signal,Frequency,Amplitude
2.394,97.0,0.0,3465.0
2.394,97.0,1.0,3348.3152
2.394,97.0,2.0,3012.474
2.394,97.0,3.0,2498.0398
2.394,97.0,4.0,1866.0322
2.394,97.0,5.0,1189.1707
2.394,97.0,6.0,541.76654
2.394,97.0,7.0,32.018085
2.394,97.0,8.0,424.10852
2.394,97.0,9.0,666.3761
2.394,97.0,10.0,740.1102
2.394,97.0,11.0,667.07355
2.394,97.0,12.0,486.84573
2.394,97.0,13.0,249.9107
2.394,97.0,14.0,45.405766
2.394,97.0,15.0,213.95866
2.394,97.0,16.0,351.40546
2.394,97.0,17.0,405.5084
2.394,97.0,18.0,376.78183
2.394,97.0,19.0,281.65814
2.394,97.0,20.0,148.94485
2.394,97.0,21.0,53.85181
2.394,97.0,22.0,147.4604
2.394,97.0,23.0,231.47734
2.394,97.0,24.0,265.08472
2.394,97.0,25.0,245.88202
2.394,97.0,26.0,184.27771
2.394,97.0,27.0,103.20053
2.394,97.0,28.0,67.81114
2.394,97.0,29.0,123.35121
2.394,97.0,30.0,174.2591
2.394,97.0,31.0,192.46666
2.394,97.0,32.0,175.42955
2.394,97.0,33.0,131.45021
2.394,97.0,34.0,81.015114
2.394,97.0,35.0,70.34012
2.394,97.0,36.0,105.42688
2.394,97.0,37.0,135.54108
2.394,97.0,38.0,143.03317
2.394,97.0,39.0,126.83937
2.394,97.0,40.0,95.25707
2.394,97.0,41.0,68.05016
2.394,97.0,42.0,72.12838
2.394,97.0,43.0,94.941345
2.394,97.0,44.0,109.84481
2.394,97.0,45.0,107.68635
2.394,97.0,46.0,90.32728
2.394,97.0,47.0,69.78567
2.394,97.0,48.0,68.6481
2.394,97.0,49.0,90.24477
2.394,97.0,50.0,113.254555
2.394,97.0,51.0,124.46202
2.394,97.0,52.0,119.85198
2.394,97.0,53.0,101.5233
2.394,97.0,54.0,77.254265
2.394,97.0,55.0,61.49935
2.394,97.0,56.0,66.01773
2.394,97.0,57.0,79.86952
2.394,97.0,58.0,88.603195
2.394,97.0,59.0,87.303
2.394,97.0,60.0,77.688065
2.394,97.0,61.0,66.30804
2.394,97.0,62.0,61.73452
2.394,97.0,63.0,66.25297
2.394,97.0,64.0,73.00195
2.394,97.0,65.0,75.37269
2.394,97.0,66.0,71.51971
2.394,97.0,67.0,63.937626
2.394,97.0,68.0,58.11563
2.394,97.0,69.0,58.53563
2.394,97.0,70.0,63.530434
2.394,97.0,71.0,67.83176
2.394,97.0,72.0,68.07343
2.394,97.0,73.0,64.31011
2.394,97.0,74.0,59.426834
2.394,97.0,75.0,57.311775
2.394,97.0,76.0,59.355427
2.394,97.0,77.0,63.019966
2.394,97.0,78.0,64.89762
2.403,97.0,79.0,63.446465
2.403,97.0,80.0,59.532455
2.403,97.0,81.0,55.811066
2.403,97.0,82.0,54.827656
2.403,97.0,83.0,56.675434
2.403,97.0,84.0,59.14221
2.403,97.0,85.0,60.006268
2.403,97.0,86.0,58.664738
2.403,97.0,87.0,56.128975
2.403,97.0,88.0,54.249863
2.403,97.0,89.0,54.07472
2.403,97.0,90.0,54.96311
2.403,97.0,91.0,55.351635
2.403,97.0,92.0,54.185337
2.403,97.0,93.0,51.74373
2.403,97.0,94.0,49.423527
2.403,97.0,95.0,48.85019
2.403,97.0,96.0,50.34928
2.403,97.0,97.0,52.74701
2.403,97.0,98.0,54.4669
2.403,97.0,99.0,54.673336
2.403,97.0,100.0,53.500744
2.403,97.0,101.0,51.909744
2.403,97.0,102.0,50.76967
2.403,97.0,103.0,50.45525
2.403,97.0,104.0,50.646206
2.403,97.0,105.0,50.71959
2.403,97.0,106.0,50.301964
2.403,97.0,107.0,49.456257
2.403,97.0,108.0,48.532974
2.403,97.0,109.0,47.847553
2.403,97.0,110.0,47.515533
2.403,97.0,111.0,47.47736
2.403,97.0,112.0,47.640995
2.403,97.0,113.0,47.972668
2.403,97.0,114.0,48.393425
2.403,97.0,115.0,48.704426
2.403,97.0,116.0,48.686134
2.403,97.0,117.0,48.192554
2.403,97.0,118.0,47.412067
2.403,97.0,119.0,46.807053
2.403,97.0,120.0,46.930138
2.403,97.0,121.0,47.914124
2.403,97.0,122.0,49.349762
2.403,97.0,123.0,50.455093
2.403,97.0,124.0,50.586674
2.403,97.0,125.0,49.527397
2.403,97.0,126.0,47.60093
2.403,97.0,127.0,45.762093
3.462,93.0,0.0,9533.0
